Flight,Flight_ID,Departure,Source,Duration,Stops,Arrival,Target,Cost
Indigo,6E-6672,15:20,Agartala,07h 10m,1-stop,22:30,Ahmedabad,7757
Indigo,6E- 386,14:50,Agartala,07h 15m,1-stop,22:05,Ahmedabad,7757
Air India,AI-746,16:30,Agartala,18h 20m,2+-stop,10:50,Ahmedabad,10170
Air India,AI-746,16:30,Agartala,26h 20m,2+-stop,18:50,Ahmedabad,10170
Air India,AI-746,16:30,Agartala,29h 05m,2+-stop,21:35,Ahmedabad,10170
Air India,AI-746,16:30,Agartala,29h 05m,2+-stop,21:35,Ahmedabad,10170
Air India,AI-746,16:30,Agartala,19h 00m,2+-stop,11:30,Ahmedabad,10250
Indigo,6E- 443,18:50,Agartala,15h 40m,1-stop,10:30,Allahabad,6294
Indigo,6E- 488,17:00,Agartala,17h 30m,1-stop,10:30,Allahabad,6294
Indigo,6E- 385,11:35,Agartala,22h 55m,2+-stop,10:30,Allahabad,9044
Indigo,6E- 385,11:35,Agartala,22h 55m,2+-stop,10:30,Allahabad,9044
Indigo,6E- 119,14:20,Agartala,20h 10m,2+-stop,10:30,Allahabad,10269
Indigo,6E- 119,14:20,Agartala,20h 10m,2+-stop,10:30,Allahabad,10269
Air India,AI-746,16:30,Agartala,22h 00m,2+-stop,14:30,Allahabad,11000
Indigo,6E- 443,18:50,Agartala,18h 10m,1-stop,13:00,Allahabad,11838
Indigo,6E- 488,17:00,Agartala,20h 00m,1-stop,13:00,Allahabad,11838
Indigo,6E-6672,15:20,Agartala,06h 05m,1-stop,21:25,Amritsar,7356
Indigo,6E- 863,12:10,Agartala,06h 25m,1-stop,18:35,Amritsar,9619
Indigo,6E- 362,10:10,Agartala,08h 25m,1-stop,18:35,Amritsar,9619
Air India,AI-746,16:30,Agartala,29h 15m,2+-stop,21:45,Amritsar,10700
Air India,AI-746,16:30,Agartala,29h 15m,2+-stop,21:45,Amritsar,10700
Indigo,6E- 443,18:50,Agartala,14h 20m,2+-stop,09:10,Aurangabad,11007
Indigo,6E- 488,17:00,Agartala,16h 10m,2+-stop,09:10,Aurangabad,11007
