Source,Target,Weight
Agartala,Bangalore,1
Agartala,Kolkata,6
Agartala,Delhi,1
Agartala,Guwahati,1
Agartala,Imphal,1
Ahmedabad,Bangalore,7
Ahmedabad,Bhubaneswar,1
Ahmedabad,Mumbai,8
Ahmedabad,Chandigarh,2
Ahmedabad,Coimbatore,1
Ahmedabad,Dehradun,1
Ahmedabad,Delhi,15
Ahmedabad,Goa,5
Ahmedabad,Gwalior,1
Ahmedabad,Hyderabad,6
Ahmedabad,Indore,1
Ahmedabad,Jaipur,3
Ahmedabad,Jaisalmer,2
Ahmedabad,Jammu,1
Ahmedabad,Kandla,2
Ahmedabad,Kanpur,1
Ahmedabad,Cochin,2
Ahmedabad,Lucknow,5
Ahmedabad,Chennai,5
Ahmedabad,Nagpur,2
Ahmedabad,Nasik,2
Ahmedabad,Patna,2
Ahmedabad,Porbandar,1
Ahmedabad,Pune,2
Ahmedabad,Raipur,1
Ahmedabad,Varanasi,3
Aizawl,Imphal,1
Allahabad,Bangalore,1
Allahabad,Mumbai,1
Allahabad,Kolkata,1
Allahabad,Delhi,2
Allahabad,Gorakhpur,1
Allahabad,Pune,1
Allahabad,Raipur,1
Amritsar,Bangalore,1
Amritsar,Mumbai,3
Amritsar,Kolkata,1
Amritsar,Delhi,7
Amritsar,Srinagar,1
Aurangabad,Mumbai,2
Aurangabad,Delhi,2
Aurangabad,Hyderabad,1
Bagdogra,Bangalore,5
Bagdogra,Kolkata,6
Bagdogra,Delhi,5
Bagdogra,Dibrugarh,1
Bagdogra,Hyderabad,1
Bangalore,Agartala,1
Bangalore,Ahmedabad,7
Bangalore,Allahabad,1
Bangalore,Amritsar,1
Bangalore,Bagdogra,5
Bangalore,Belgaum,1
Bangalore,Bhopal,2
Bangalore,Bhubaneswar,7
Bangalore,Mumbai,20
Bangalore,Kolkata,21
Bangalore,Chandigarh,3
Bangalore,Coimbatore,3
Bangalore,Dehradun,1
Bangalore,Delhi,26
Bangalore,Goa,7
Bangalore,Guwahati,5
Bangalore,Hubli,3
Bangalore,Hyderabad,12
Bangalore,Indore,3
Bangalore,Jabalpur,1
Bangalore,Jaipur,6
Bangalore,Jodhpur,1
Bangalore,Cochin,10
Bangalore,Kolhapur,1
Bangalore,Kozhikode,3
Bangalore,Lucknow,6
Bangalore,Chennai,14
Bangalore,Madurai,1
Bangalore,Mangalore,6
Bangalore,Mysore,1
Bangalore,Nagpur,3
