,0
Agartala_Bangalore,1
Agartala_Kolkata,6
Agartala_Delhi,1
Agartala_Guwahati,1
Agartala_Imphal,1
Ahmedabad_Bangalore,7
Ahmedabad_Bhubaneswar,1
Ahmedabad_Mumbai,8
Ahmedabad_Chandigarh,2
Ahmedabad_Coimbatore,1
Ahmedabad_Dehradun,1
Ahmedabad_Delhi,15
Ahmedabad_Goa,5
Ahmedabad_Gwalior,1
Ahmedabad_Hyderabad,6
Ahmedabad_Indore,1
Ahmedabad_Jaipur,3
Ahmedabad_Jaisalmer,2
Ahmedabad_Jammu,1
Ahmedabad_Kandla,2
Ahmedabad_Kanpur,1
Ahmedabad_Cochin,2
Ahmedabad_Lucknow,5
Ahmedabad_Chennai,5
Ahmedabad_Nagpur,2
Ahmedabad_Nasik,2
Ahmedabad_Patna,2
Ahmedabad_Porbandar,1
Ahmedabad_Pune,2
Ahmedabad_Raipur,1
Ahmedabad_Varanasi,3
Aizawl_Imphal,1
Allahabad_Bangalore,1
Allahabad_Mumbai,1
Allahabad_Kolkata,1
Allahabad_Delhi,2
Allahabad_Gorakhpur,1
Allahabad_Pune,1
Allahabad_Raipur,1
Amritsar_Bangalore,1
Amritsar_Mumbai,3
Amritsar_Kolkata,1
Amritsar_Delhi,7
Amritsar_Srinagar,1
Aurangabad_Mumbai,2
Aurangabad_Delhi,2
Aurangabad_Hyderabad,1
Bagdogra_Bangalore,5
Bagdogra_Kolkata,6
Bagdogra_Delhi,5
Bagdogra_Dibrugarh,1
Bagdogra_Hyderabad,1
Bangalore_Agartala,1
Bangalore_Ahmedabad,7
Bangalore_Allahabad,1
Bangalore_Amritsar,1
Bangalore_Bagdogra,5
Bangalore_Belgaum,1
Bangalore_Bhopal,2
Bangalore_Bhubaneswar,7
Bangalore_Mumbai,20
Bangalore_Kolkata,21
Bangalore_Chandigarh,3
Bangalore_Coimbatore,3
Bangalore_Dehradun,1
Bangalore_Delhi,26
Bangalore_Goa,7
Bangalore_Guwahati,5
Bangalore_Hubli,3
Bangalore_Hyderabad,12
Bangalore_Indore,3
Bangalore_Jabalpur,1
Bangalore_Jaipur,6
Bangalore_Jodhpur,1
Bangalore_Cochin,10
Bangalore_Kolhapur,1
Bangalore_Kozhikode,3
Bangalore_Lucknow,6
Bangalore_Chennai,14
Bangalore_Madurai,1
Bangalore_Mangalore,6
Bangalore_Mysore,1
Bangalore_Nagpur,3
Bangalore_Nasik,1
